participant,session,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,key_resp.rt,score,iterations.thisRepN,iterations.thisTrialN,iterations.thisN,iterations.thisIndex,iterations.ran,i_ques,i_res,i_ans
bhakti,001,2022-12-06_20h30.40.896,SpotSymbols,2022.2.4,Win32,59.94485074,,,,,,,,,,,,
bhakti,001,2022-12-06_20h30.40.896,SpotSymbols,2022.2.4,Win32,59.94485074,,,,,,,,,,,,
bhakti,001,2022-12-06_20h30.40.896,SpotSymbols,2022.2.4,Win32,59.94485074,2,1,2.8216,1,0,0,0,0,1,Questions/Slide2.png,Responses/Slide3.png,2
bhakti,001,2022-12-06_20h30.40.896,SpotSymbols,2022.2.4,Win32,59.94485074,4,1,1.5701,2,0,1,1,1,1,Questions/Slide4.png,Responses/Slide5.png,4
bhakti,001,2022-12-06_20h30.40.896,SpotSymbols,2022.2.4,Win32,59.94485074,1,1,1.4263,3,0,2,2,2,1,Questions/Slide6.png,Responses/Slide7.png,1
bhakti,001,2022-12-06_20h30.40.896,SpotSymbols,2022.2.4,Win32,59.94485074,3,1,1.3753,4,0,3,3,3,1,Questions/Slide8.png,Responses/Slide9.png,3
bhakti,001,2022-12-06_20h30.40.896,SpotSymbols,2022.2.4,Win32,59.94485074,1,1,1.101,5,0,4,4,4,1,Questions/Slide10.png,Responses/Slide11.png,1
bhakti,001,2022-12-06_20h30.40.896,SpotSymbols,2022.2.4,Win32,59.94485074,1,0,1.2189,5,0,5,5,5,1,Questions/Slide12.png,Responses/Slide13.png,4
bhakti,001,2022-12-06_20h30.40.896,SpotSymbols,2022.2.4,Win32,59.94485074,2,1,1.4265,6,0,6,6,6,1,Questions/Slide14.png,Responses/Slide15.png,2
bhakti,001,2022-12-06_20h30.40.896,SpotSymbols,2022.2.4,Win32,59.94485074,0,0,3.4363,6,0,7,7,7,1,Questions/Slide16.png,Responses/Slide17.png,4
bhakti,001,2022-12-06_20h30.40.896,SpotSymbols,2022.2.4,Win32,59.94485074,2,0,1.5288,6,0,8,8,8,1,Questions/Slide18.png,Responses/Slide19.png,4
bhakti,001,2022-12-06_20h30.40.896,SpotSymbols,2022.2.4,Win32,59.94485074,3,1,1.1368,7,0,9,9,9,1,Questions/Slide20.png,Responses/Slide21.png,3
bhakti,001,2022-12-06_20h30.40.896,SpotSymbols,2022.2.4,Win32,59.94485074,2,1,2.635,8,0,10,10,10,1,Questions/Slide22.png,Responses/Slide23.png,2
bhakti,001,2022-12-06_20h30.40.896,SpotSymbols,2022.2.4,Win32,59.94485074,0,1,1.3515,9,0,11,11,11,1,Questions/Slide24.png,Responses/Slide25.png,0
bhakti,001,2022-12-06_20h30.40.896,SpotSymbols,2022.2.4,Win32,59.94485074,1,1,1.4207,10,0,12,12,12,1,Questions/Slide26.png,Responses/Slide27.png,1
bhakti,001,2022-12-06_20h30.40.896,SpotSymbols,2022.2.4,Win32,59.94485074,1,0,1.8845,10,0,13,13,13,1,Questions/Slide28.png,Responses/Slide29.png,6
bhakti,001,2022-12-06_20h30.40.896,SpotSymbols,2022.2.4,Win32,59.94485074,0,1,1.1838,11,0,14,14,14,1,Questions/Slide30.png,Responses/Slide31.png,0
bhakti,001,2022-12-06_20h30.40.896,SpotSymbols,2022.2.4,Win32,59.94485074,0,1,0.7833,12,0,15,15,15,1,Questions/Slide32.png,Responses/Slide33.png,0
bhakti,001,2022-12-06_20h30.40.896,SpotSymbols,2022.2.4,Win32,59.94485074,3,1,4.6614,13,0,16,16,16,1,Questions/Slide34.png,Responses/Slide35.png,3
bhakti,001,2022-12-06_20h30.40.896,SpotSymbols,2022.2.4,Win32,59.94485074,4,0,1.5672,13,0,17,17,17,1,Questions/Slide36.png,Responses/Slide37.png,2
bhakti,001,2022-12-06_20h30.40.896,SpotSymbols,2022.2.4,Win32,59.94485074,2,1,0.9596,14,0,18,18,18,1,Questions/Slide38.png,Responses/Slide39.png,2
bhakti,001,2022-12-06_20h30.40.896,SpotSymbols,2022.2.4,Win32,59.94485074,0,0,1.9672,14,0,19,19,19,1,Questions/Slide40.png,Responses/Slide41.png,2
bhakti,001,2022-12-06_20h30.40.896,SpotSymbols,2022.2.4,Win32,59.94485074,,,,,,,,,,,,
